Date,Open,High,Low,Close,Volume,Adjustment
12-30-11,126,126.33,125.59,125.5,67727400,
12-29-11,125.24,126.25,125.18,126.1,85595000,
12-28-11,126.51,126.53,124.73,124.92,102058600,
12-27-11,126.17,126.82,126.06,126.49,62263900,
12-23-11,125.69,126.43,125.41,126.39,63714200,
12-22-11,124.63,125.39,124.36,125.33,100189600,
12-21-11,123.93,124.36,122.75,124.17,152485900,
12-20-11,122.18,124.14,120.37,123.88,160843500,
12-19-11,122.06,122.32,120.03,120.32,145786000,
12-16-11,122.22,122.95,121.3,121.57,172869000,Dividend: 0.77 USD  
12-15-11,123.03,123.2,121.99,122.15,143603200,
12-14-11,122.56,123.03,121.47,121.71,192907300,
12-13-11,124.86,125.57,122.45,123.11,204161800,
12-12-11,124.95,124.97,123.16,124.24,166019500,
12-09-11,124.51,126.37,124.4,126.03,162194900,
12-08-11,125.9,126.18,123.65,123.98,193552200,
12-07-11,125.84,127.26,124.97,126.75,173015100,
12-06-11,126.2,127.11,125.76,126.26,132604700,
12-05-11,126.84,127.18,125.44,126.21,179756600,
12-02-11,126.12,126.5,124.78,124.86,157969200,
12-01-11,124.85,125.64,124.43,124.98,150696700,
11-30-11,123.48,125.22,123.22,125.11,226795900,
11-29-11,120.05,121,119.61,120.08,161454500,
11-28-11,119.54,120.18,118.82,119.7,170040500,
11-25-11,116.38,117.7,116.32,116.2,83139300,
11-23-11,118.06,118.21,116.56,116.56,180906500,
11-22-11,119.39,120.1,118.52,119.19,190681600,
11-21-11,120.2,120.35,118.65,119.62,193079700,
11-18-11,122.51,122.75,121.47,121.99,174677500,
11-17-11,123.84,124.16,121.23,122.18,261198700,
11-16-11,124.83,126.34,123.9,124.05,188869300,
11-15-11,125.18,126.75,124.72,126.12,150252700,
11-14-11,126.19,126.36,124.92,125.46,125320400,
11-11-11,125.82,126.99,125.79,126.62,143845800,
11-10-11,124.8,124.94,123.02,124.32,197154400,
11-09-11,124.89,125.47,122.86,123.19,263945500,
11-08-11,126.92,128.02,125.71,127.86,193531400,
11-07-11,125.38,126.39,124.2,126.28,173189500,
11-04-11,125.24,125.7,124.01,125.45,182214900,
11-03-11,125.26,126.5,123.59,126.24,230139200,
11-02-11,123.83,124.4,122.79,123.99,208707800,
11-01-11,122.04,123.51,121.52,122.08,344812500,
10-31-11,127.16,127.26,125.36,125.45,179613100,
10-28-11,128.01,128.85,127.8,128.68,167565700,
10-27-11,127.63,129.42,126.61,128.53,282445900,
10-26-11,124.35,124.77,122.21,124.33,241318600,
10-25-11,124.88,124.95,122.78,123.08,230929500,
10-24-11,124.17,125.8,124.06,125.49,166576800,
10-21-11,123.09,124.12,122.72,123.91,202969800,
10-20-11,121.43,122.1,119.82,121.69,231191500,
10-19-11,122.38,123.08,120.71,121.14,196018300,
10-18-11,120.13,123.5,119.2,122.61,264112100,
10-17-11,121.99,122.06,119.93,120.24,160722800,
10-14-11,121.91,122.6,121.23,122.56,164741200,
10-13-11,120,120.87,119.12,120.47,192194100,
10-12-11,120.6,122.14,120.33,120.67,232585000,
10-11-11,118.88,120.04,118.75,119.68,178906600,
10-10-11,117.68,119.59,117.67,119.59,182756000,
10-07-11,117.17,117.25,115.06,115.75,243982200,
10-06-11,114.35,116.66,113.51,116.51,218688400,
10-05-11,112.62,114.72,111.58,114.5,247667700,
10-04-11,108.34,112.58,107.43,112.13,396616100,
10-03-11,112.48,113.95,109.81,109.93,303898400,
09-30-11,114.45,115.45,113.07,113.17,236303700,
09-29-11,117.05,117.63,113.93,116.02,261417600,
09-28-11,117.78,118.49,114.97,115.16,245963500,
09-27-11,118.53,119.56,116.84,117.6,251397700,
09-26-11,114.61,116.4,112.98,116.25,221764300,
09-23-11,112.12,114.16,112.02,113.54,247783600,
09-22-11,113.24,114.21,111.3,112.8,401089500,
09-21-11,120.23,120.6,116.5,116.51,265333700,
09-20-11,120.82,121.99,120.01,120.17,186712500,
09-19-11,119.53,120.93,118.72,120.31,199977100,
09-16-11,121.29,121.97,120.32,121.58,224922300,Dividend: 0.62 USD  
09-15-11,120.64,121.46,119.57,121.47,221235000,
09-14-11,118.34,120.8,116.72,119.36,250657800,
09-13-11,117.05,118.18,116.22,117.58,229110800,
09-12-11,114.48,116.76,114.05,116.66,260407700,
09-09-11,117.68,118.1,115.28,115.86,311288000,
09-08-11,119.56,120.94,118.77,119.02,205390100,
09-07-11,118.75,120.34,118.36,120.27,175380900,
09-06-11,114.39,117.16,114.38,116.99,235952200,
09-02-11,118.43,119.08,117.43,117.84,193675000,
09-01-11,122.29,123.4,120.78,120.96,226955200,
08-31-11,122.44,123.51,121.3,122.06,246609500,
08-30-11,120.84,122.43,119.26,121.62,212202000,
08-29-11,119.56,121.43,119.48,121.38,144223200,
08-26-11,115.68,118.51,113.85,118.04,265759100,
08-25-11,118.74,119.4,115.87,116.31,253153400,
08-24-11,116.19,118.24,115.92,118.13,207948100,
08-23-11,113.15,116.54,112.58,116.46,281089100,
08-22-11,115.16,115.23,112.41,112.73,234581800,
08-19-11,112.96,115.88,112.5,112.68,336652500,
08-18-11,116.51,116.64,113.39,114.61,389833300,
08-17-11,120.24,121.2,118.72,119.67,185640400,
08-16-11,119.47,120.69,118.31,119.56,235454900,
08-15-11,119.18,120.74,119,120.55,205258600,
08-12-11,118.41,119.22,117.28,118.15,255568100,
08-11-11,113.26,118.92,112.85,117.28,379003900,
08-10-11,115.26,116.28,111.95,112.35,490921600,
08-09-11,114.06,117.5,110.27,117.37,584199200,
08-08-11,116.92,118.35,112.02,112.26,572862700,
08-05-11,121.76,122.07,116.86,119.98,561388300,
08-04-11,124.42,124.62,120.06,120.18,430343800,
08-03-11,125.66,126.31,123.53,126.21,325011000,
08-02-11,127.8,128.5,125.49,125.49,264220300,
08-01-11,130.84,130.96,127.53,128.71,254121500,
07-29-11,128.9,130.55,127.97,129.05,239527500,
07-28-11,130.59,131.77,130.01,130.16,168987400,
07-27-11,132.59,132.6,130.43,130.6,210112800,
07-26-11,133.75,133.96,133.03,133.36,110253700,
07-25-11,133.3,134.49,133.16,133.83,117201700,
07-22-11,134.52,134.72,133.76,134.61,96737400,
07-21-11,133.4,134.82,133.14,134.52,191530800,
07-20-11,133.07,133.15,132.42,132.65,108289600,
07-19-11,131.35,132.89,131.31,132.78,140147400,
07-18-11,131.08,131.28,129.63,130.58,150990200,
07-15-11,131.66,131.87,130.77,131.74,166152300,
07-14-11,132.17,132.78,130.68,130.94,194674800,
07-13-11,132.09,133.22,131.52,131.85,163236900,
07-12-11,131.69,132.78,131.36,131.43,177883300,
07-11-11,132.76,133.18,131.66,131.96,151732500,
07-08-11,133.82,134.44,133.39,134.4,138257600,
07-07-11,135.16,135.7,134.88,135.46,124509000,
07-06-11,133.49,134.14,133.11,133.94,116995800,
07-05-11,133.78,134.08,133.39,133.71,139870700,
