Date,Open,High,Low,Close,Volume,Adjustment
12-29-17,268.55,268.55,266.64,266.86,43875696,
12-28-17,267.85,267.92,267.45,267.87,23583464,
12-27-17,267.36,267.73,267.01,267.32,32569202,
12-26-17,267.06,267.39,266.88,267.19,24881278,
12-22-17,267.59,267.64,266.9,267.51,36583581,
12-21-17,267.73,268.39,267.3,267.58,35004687,
12-20-17,268.25,268.33,266.69,267.03,42145689,
12-19-17,268.48,268.53,267.09,267.17,46993762,
12-18-17,268.08,268.6,267.98,268.2,45671583,
12-15-17,265.45,267.04,265.39,266.51,59281733,Dividend: 1.35 USD  
12-14-17,267.12,267.22,265.6,265.66,57350831,
12-13-17,267.06,267.56,266.65,266.75,48965879,
12-12-17,266.57,267.32,266.34,266.78,46507136,
12-11-17,265.57,266.38,265.49,266.31,38139161,
12-08-17,265.01,265.52,264.72,265.51,40960721,
12-07-17,263.09,264.43,262.94,264.07,40145397,
12-06-17,262.87,263.73,262.71,263.24,40840747,
12-05-17,264.43,265.15,263.04,263.19,60164023,
12-04-17,266.31,266.8,264.12,264.14,65823137,
12-01-17,264.77,265.31,260.76,264.46,129828311,
11-30-17,263.76,266.05,263.67,265.01,82842240,
11-29-17,263.02,263.63,262.2,262.71,51223571,
11-28-17,260.76,262.9,260.65,262.87,57817673,
11-27-17,260.41,260.75,260,260.23,29726737,
11-24-17,260.28,260.48,260.16,260.36,16321290,
11-22-17,260.03,260.15,259.57,259.76,27600006,
11-21-17,259.18,260.2,259.09,259.99,42318236,
11-20-17,258.14,258.53,257.86,258.3,29350110,
11-17-17,258.22,258.44,257.77,257.86,42067775,
11-16-17,257.52,259.04,257.47,258.62,57927070,
11-15-17,256.62,257.22,255.63,256.44,55527073,
11-14-17,257.4,257.85,256.52,257.73,40944449,
11-13-17,257.32,258.59,257.27,258.33,32425670,
11-10-17,257.73,258.21,257.37,258.09,35744128,
11-09-17,257.73,258.39,256.36,258.17,75307304,
11-08-17,258.46,259.22,258.15,259.11,32193787,
11-07-17,258.97,259.35,258.09,258.67,40161246,
11-06-17,258.29,259,258.22,258.85,22669226,
11-03-17,257.78,258.5,257.3,258.45,38007482,
11-02-17,257.41,257.75,256.19,257.59,42414271,
11-01-17,258.04,258.43,257.07,257.49,40454206,
10-31-17,257.18,257.44,256.8,257.15,35713050,
10-30-17,257.07,257.6,256.41,256.75,37107800,
10-27-17,256.5,257.89,256.16,257.71,49914659,
10-26-17,255.99,256.3,255.56,255.62,37724977,
10-25-17,256.19,256.31,254,255.29,72221036,
10-24-17,256.59,256.83,256.15,256.56,44465366,
10-23-17,257.48,257.51,256.02,256.11,36347710,
10-20-17,256.7,257.14,256.42,257.11,41154891,
10-19-17,254.82,255.82,254.35,255.79,41420602,
10-18-17,255.9,255.95,255.5,255.72,25173813,
10-17-17,255.24,255.52,254.98,255.47,23608878,
10-16-17,255.22,255.51,254.82,255.29,25329347,
10-13-17,255.14,255.27,254.64,254.95,33555636,
10-12-17,254.66,255.06,254.36,254.64,32195950,
10-11-17,254.51,255.02,254.32,255.02,24704774,
10-10-17,254.62,255.05,253.98,254.62,28249922,
10-09-17,254.63,254.7,253.65,253.95,23492495,
10-06-17,254.15,254.46,253.85,254.37,40714112,
10-05-17,253.51,254.68,253.4,254.66,45348957,
10-04-17,252.7,253.44,252.56,253.16,30226129,
10-03-17,252.46,252.89,252.23,252.86,33869271,
10-02-17,251.49,252.3,251.29,252.32,37463749,
09-29-17,250.34,251.32,250.13,251.23,41424191,
09-28-17,249.73,250.44,249.63,250.35,25569734,
09-27-17,249.88,250.49,248.87,250.05,51453366,
09-26-17,249.42,249.7,248.8,249.08,36756968,
09-25-17,249.14,249.56,248.08,248.93,42816564,
09-22-17,249.05,249.63,249.02,249.44,31078501,
09-21-17,249.89,249.98,249.18,249.39,29184735,
09-20-17,250.06,250.19,248.92,250.06,42783459,
09-19-17,250,250.07,249.6,249.97,25489002,
09-18-17,249.61,250.12,249.28,249.72,31229800,
09-15-17,248.69,249.29,248.57,249.19,41701736,Dividend: 1.23 USD  
09-14-17,249.79,250.32,249.6,250.09,40844716,
09-13-17,249.73,250.21,249.59,250.17,30866205,
09-12-17,249.63,250.07,249.42,250.05,42768510,
09-11-17,248.04,249.3,248.02,249.21,48788803,
09-08-17,246.53,247.11,246.3,246.58,39329087,
09-07-17,247.26,247.27,246.4,246.87,38571316,
09-06-17,246.84,247.28,246.23,246.9,44579797,
09-05-17,247.24,247.52,244.95,246.06,66632508,
09-01-17,247.92,248.33,247.67,247.84,39613558,
08-31-17,246.73,247.77,246.61,247.49,52610142,
08-30-17,244.83,246.32,244.62,246.01,40191260,
08-29-17,243.11,245.15,242.93,244.85,40455548,
08-28-17,245.13,245.2,244.09,244.57,24828539,
08-25-17,244.9,245.61,244.39,244.56,44552100,
08-24-17,245,245.18,243.75,243.99,40692468,
08-23-17,244.35,245.05,244.16,244.56,33791793,
