Date,Open,High,Low,Close,Volume,Adjustment
12-30-16,224.73,224.83,222.73,223.53,72735202,
12-29-16,224.48,224.89,223.84,224.35,33883977,
12-28-16,226.57,226.59,224.27,224.4,42633770,
12-27-16,226.02,226.73,226,226.27,56318668,
12-23-16,225.43,225.72,225.21,225.71,24299567,
12-22-16,225.6,225.74,224.92,225.38,36366477,
12-21-16,226.25,226.45,225.77,225.77,34923169,
12-20-16,226.15,226.57,225.88,226.4,38674493,
12-19-16,225.25,226.02,225.08,225.53,49697438,
12-16-16,226.01,226.08,224.67,225.04,73809076,Dividend: 1.33 USD  
12-15-16,226.15,227.81,226.01,226.81,77403557,
12-14-16,227.41,228.23,225.36,225.88,103710263,
12-13-16,227.01,228.34,227,227.76,69707216,
12-12-16,226.4,226.96,225.76,226.25,61783330,
12-09-16,225.41,226.5,225.37,226.51,59930498,
12-08-16,224.58,225.7,224.26,225.15,69979601,
12-07-16,221.52,224.67,221.38,224.6,82503622,
12-06-16,221.22,221.75,220.66,221.7,43883504,
12-05-16,220.65,221.4,220.42,221,49535522,
12-02-16,219.67,220.25,219.26,219.68,54564756,
12-01-16,220.71,220.73,219.15,219.57,64128334,
11-30-16,221.63,221.82,220.31,220.38,73936613,
11-29-16,220.53,221.44,220.17,220.91,45896419,
11-28-16,221.17,221.48,220.36,220.48,52233237,
11-25-16,221.1,221.55,221.01,221.52,24425750,
11-23-16,219.98,220.76,219.75,220.7,42625530,
11-22-16,220.51,220.79,219.73,220.58,51663253,
11-21-16,219.17,220.18,219,220.15,51964493,
11-18-16,219.07,219.27,218.29,218.5,49246579,
11-17-16,218.05,219.06,217.92,218.99,53215320,
11-16-16,217.56,218.14,217.42,217.87,47942625,
11-15-16,217.04,218.28,216.8,218.28,64734582,
11-14-16,217.03,217.27,215.72,216.59,79223224,
11-11-16,216.11,216.7,215.32,216.42,76988033,
11-10-16,217.32,218.31,215.22,216.92,148168902,
11-09-16,212.37,217.1,212.34,216.38,200214534,
11-08-16,212.7,214.77,212.38,214.11,88031433,
11-07-16,211.45,213.19,211.3,213.15,78745469,
11-04-16,208.91,209.89,208.38,208.55,79845877,
11-03-16,209.99,210.24,208.46,208.78,70957633,
11-02-16,210.67,211.1,209.23,209.74,80583448,
11-01-16,212.93,212.99,209.6,211.01,95507331,
10-31-16,212.93,213.19,212.36,212.55,47327612,
10-28-16,213.14,213.93,211.71,212.54,114965359,
10-27-16,214.58,214.62,213.08,213.17,60252170,
10-26-16,213.21,214.42,212.93,213.74,61693175,
10-25-16,214.69,214.98,213.98,214.17,51704113,
10-24-16,214.96,215.32,214.48,214.89,42805749,
10-21-16,212.95,214.08,212.76,213.98,52458377,
10-20-16,213.87,214.53,213.11,213.88,60502435,
10-19-16,214.03,214.64,213.6,214.28,47063555,
10-18-16,214.26,214.31,213.27,213.71,55643301,
10-17-16,213.09,213.39,212.17,212.38,48268582,
10-14-16,214.16,214.69,213.03,213.12,71665455,
10-13-16,212.16,213.59,211.21,213.01,82701384,
10-12-16,213.59,214.32,213.01,213.71,59594936,
10-11-16,215.66,215.74,212.58,213.43,97351296,
10-10-16,216.15,216.7,215.98,216.16,38008402,
10-07-16,216.1,216.3,214.19,215.04,73335441,
10-06-16,215.37,216.04,214.73,215.78,49004176,
10-05-16,215.41,216.13,215.33,215.63,57366693,
10-04-16,215.91,216.17,213.99,214.68,87088383,
10-03-16,215.82,216.04,215.04,215.78,55840146,
09-30-16,215.65,217.12,215.36,216.3,79393514,
09-29-16,216.41,216.87,214.04,214.68,107494612,
09-28-16,215.83,216.82,214.71,216.64,66741256,
