Date,Open,High,Low,Close,Volume,Adjustment
12-31-15,205.13,205.89,203.87,203.87,78733988,
12-30-15,207.11,207.21,205.76,205.93,45511770,
12-29-15,206.51,207.79,206.47,207.4,63679628,
12-28-15,204.86,205.26,203.94,205.21,50365046,
12-24-15,205.72,206.33,205.42,205.68,31975061,
12-23-15,204.71,206.07,204.58,206.02,79878686,
12-22-15,202.72,203.85,201.55,203.5,84530393,
12-21-15,201.43,201.88,200.09,201.67,80957845,
12-18-15,202.75,202.93,199.95,200.02,172261942,Dividend: 1.21 USD  
12-17-15,208.4,208.48,204.84,204.86,123906600,
12-16-15,206.37,208.39,204.8,208.03,145601696,
12-15-15,204.7,206.11,202.86,205.03,113374768,
12-14-15,202.07,203.05,199.95,202.9,147054185,
12-11-15,203.36,204.14,201.51,201.88,153424767,
12-10-15,205.44,207.43,205.14,205.87,87012644,
12-09-15,206.19,208.68,204.18,205.34,130282422,
12-08-15,206.48,208.04,205.78,206.95,85182207,
12-07-15,209.22,209.25,207.2,208.35,80572379,
12-04-15,206.08,209.97,205.93,209.62,138260765,
12-03-15,208.83,209.15,204.75,205.61,125711864,
12-02-15,210.61,211,208.23,208.53,88379373,
12-01-15,209.44,210.82,209.11,210.68,80426519,
11-30-15,209.75,209.89,208.56,208.69,78991545,
11-27-15,209.43,209.8,208.86,209.56,27557173,
11-25-15,209.5,209.74,209.01,209.32,42760518,
11-24-15,207.87,209.83,207.41,209.35,81748691,
11-23-15,209.38,209.98,208.52,209.07,54738008,
11-20-15,209.45,210.12,208.86,209.31,67027713,
11-19-15,208.59,209.05,208.2,208.55,62018401,
11-18-15,206.04,208.9,205.99,208.73,94448031,
11-17-15,205.99,207.04,204.88,205.47,100519237,
11-16-15,202.32,205.64,202.18,205.62,90592338,
11-13-15,204.35,204.67,202.43,202.54,120335951,
11-12-15,206.5,207.06,204.82,204.84,95299175,
11-11-15,208.88,208.94,207.66,207.74,58689076,
11-10-15,207.5,208.6,207.19,208.56,60954178,
11-09-15,209.31,209.49,206.95,208.08,96627592,
11-06-15,209.74,210.32,208.46,210.04,87622905,
11-05-15,210.43,210.98,209.09,210.15,63371991,
11-04-15,211.35,211.5,209.72,210.36,75445431,
11-03-15,209.97,211.66,209.7,211,69592217,
11-02-15,208.32,210.62,208.17,210.39,70110547,
10-30-15,209.06,209.44,207.83,207.93,91064404,
10-29-15,208.34,209.27,208.21,208.83,64052955,
10-28-15,206.97,208.97,206.21,208.95,115480988,
10-27-15,206.2,207,205.79,206.6,62899472,
10-26-15,207.3,207.37,206.56,207,51484803,
10-23-15,207.25,207.95,206.3,207.51,103135843,
10-22-15,202.98,205.51,202.81,205.26,121670959,
10-21-15,203.61,203.79,201.65,201.85,83703839,
10-20-15,202.85,203.84,202.54,203.09,60081645,
10-19-15,202.5,203.37,202.13,203.37,61257529,
10-16-15,202.83,203.29,201.92,203.27,79272775,
10-15-15,200.08,202.34,199.64,202.35,95987113,
10-14-15,200.18,200.87,198.94,199.29,82856686,
10-13-15,200.65,202.16,200.05,200.25,72077283,
10-12-15,201.42,201.76,200.91,201.52,42032919,
10-09-15,201.37,201.9,200.58,201.33,74424197,
10-08-15,198.95,201.55,198.59,201.21,125998639,
10-07-15,198.9,199.83,197.48,199.41,106302444,
10-06-15,198.31,198.98,197,197.79,88716656,
10-05-15,196.46,198.74,196.33,198.47,109396833,
10-02-15,189.77,194.98,189.12,195,155626796,
10-01-15,192.08,192.49,189.82,192.13,109999808,
09-30-15,190.37,191.83,189.44,191.63,123349399,
09-29-15,188.26,189.74,186.93,188.12,132883837,
09-28-15,191.78,191.91,187.64,188.01,138210704,
09-25-15,194.64,195,191.81,192.85,122360793,
09-24-15,192.15,193.45,190.56,192.9,131892631,
09-23-15,194.11,194.67,192.91,193.6,72994102,
09-22-15,193.88,194.46,192.56,193.91,105335035,
09-21-15,196.44,197.68,195.21,196.46,82723603,
09-18-15,195.7,197.56,194.96,195.45,145482216,Dividend: 1.03 USD  
09-17-15,200.02,202.89,199.28,199.73,194008406,
09-16-15,198.82,200.41,198.41,200.18,73930161,
09-15-15,196.6,198.99,196.09,198.46,80712145,
09-14-15,196.97,197.01,195.43,196.01,56856167,
09-11-15,195.38,196.77,194.53,196.74,82020134,
09-10-15,194.54,197.22,194.25,195.85,120040185,
09-09-15,199.34,199.47,194.35,194.79,110639557,
09-08-15,195.94,197.61,195.17,197.43,92715665,
09-04-15,192.85,193.86,191.61,192.59,122018169,
09-03-15,196.26,198.05,194.96,195.55,117199589,
09-02-15,194.65,195.46,192.42,195.41,121033137,
09-01-15,193.12,194.77,190.73,191.77,173955986,
08-31-15,198.11,199.13,197.01,197.67,108020882,
08-28-15,198.5,199.84,197.92,199.28,111959716,
08-27-15,197.02,199.41,195.21,199.27,226787722,
08-26-15,192.08,194.79,188.37,194.46,255761551,
08-25-15,195.43,195.45,187.06,187.27,273826859,
08-24-15,187.33,195.84,182.4,189.55,353822135,
08-21-15,201.73,202.92,197.53,197.83,259386697,
08-20-15,206.51,207.17,203.91,203.97,146368696,
08-19-15,209.1,210.01,207.35,208.32,137796369,
08-18-15,210.27,210.68,209.69,209.98,53829266,
08-17-15,208.71,210.58,208.16,210.59,67266912,
08-14-15,208.45,209.51,208.26,209.42,58555694,
08-13-15,208.73,209.55,208.01,208.66,77197796,
08-12-15,207.11,209.14,205.36,208.92,136156330,
08-11-15,208.98,209.47,207.76,208.67,87922097,
08-10-15,209.28,210.67,209.28,210.57,66755771,
08-07-15,208.16,208.34,206.87,207.95,87669578,
08-06-15,210.29,210.42,207.65,208.35,87630877,
08-05-15,210.45,211.31,209.73,210.07,67217983,
08-04-15,209.7,210.25,208.8,209.38,70364176,
08-03-15,210.46,210.53,208.65,209.79,90371862,
07-31-15,211.42,211.45,210.16,210.5,77849055,
07-30-15,210.16,211.02,209.42,210.82,70965852,
07-29-15,209.48,211.04,209.31,210.77,87885818,
07-28-15,207.78,209.5,206.8,209.33,97997914,
07-27-15,206.94,207.55,206.26,206.79,98209610,
07-24-15,210.3,210.37,207.6,208,89744242,
07-23-15,211.53,211.65,209.75,210.18,73134782,
07-22-15,210.93,211.77,210.89,211.37,71187915,
07-21-15,212.43,212.74,211.39,211.75,62674429,
07-20-15,212.75,213.18,212.21,212.59,54373230,
07-17-15,212.29,212.55,211.8,212.48,61939707,
07-16-15,211.87,212.3,211.58,212.3,71767125,
07-15-15,210.73,211.28,210.04,210.61,74388088,
07-14-15,209.72,211.05,209.65,210.68,64297076,
07-13-15,208.99,209.9,208.94,209.77,79006719,
07-10-15,207.29,207.98,206.49,207.48,95677917,
07-09-15,207.04,207.35,204.88,204.9,107366136,
07-08-15,206.42,206.76,204.25,204.53,133334924,
07-07-15,206.96,208.17,204.11,208.02,150017886,
07-06-15,205.77,207.65,205.53,206.72,90806045,
07-02-15,208.07,208.27,206.81,207.31,72178648,
07-01-15,207.75,208.03,206.56,207.5,94712789,
06-30-15,207.26,207.32,205.28,205.85,127266976,
06-29-15,208.04,208.82,205.33,205.42,141671700,
06-26-15,210.29,210.58,209.16,209.82,77189281,
06-25-15,211.11,211.25,209.77,209.86,63340647,
06-24-15,211.72,212.17,210.48,210.5,65769747,
06-23-15,212.14,212.44,211.57,212.04,49012390,
06-22-15,211.9,212.59,211.64,211.89,57507654,
06-19-15,211.46,211.55,210.44,210.5,78931737,Dividend: 1.03 USD  
06-18-15,211.31,213.34,211.17,212.78,112008996,
06-17-15,210.62,211.32,209.36,210.59,96911390,
06-16-15,208.93,210.35,208.72,210.25,61057890,
06-15-15,208.64,209.45,207.79,209.11,90475226,
06-12-15,210.64,210.84,209.68,210.01,83637959,
06-11-15,211.5,212.09,211.2,211.63,58287145,
06-10-15,209.37,211.41,209.31,210.95,101102542,
06-09-15,208.45,209.1,207.69,208.45,78197415,
06-08-15,209.64,209.82,208.39,208.48,71519762,
06-05-15,209.95,210.58,208.98,209.77,83002659,
06-04-15,211.07,211.86,209.75,210.13,106534907,
06-03-15,211.98,212.67,211.33,211.92,70586088,
06-02-15,211.04,212.19,210.27,211.36,75673778,
06-01-15,211.94,212.34,210.62,211.57,76327234,
05-29-15,212.38,212.43,210.82,211.14,88172300,
05-28-15,212.33,212.59,211.63,212.46,56703700,
05-27-15,211.25,212.98,210.85,212.7,74283500,
05-26-15,212.4,212.5,210.2,210.7,85211200,
05-22-15,213.04,213.54,212.91,212.99,43326700,
05-21-15,212.71,213.75,212.51,213.5,53584700,
05-20-15,213.15,213.78,212.5,212.88,60306000,
05-19-15,213.24,213.57,212.69,213.03,52470600,
05-18-15,212.24,213.4,212.16,213.1,50293900,
05-15-15,212.44,212.61,211.86,212.44,52175800,
05-14-15,211.24,212.32,210.91,212.21,67383100,
05-13-15,210.47,211.22,209.74,210.02,66526400,
